Winrate_Blue_Top,Games_Blue_Top,Winrate_Blue_Jungle,Games_Blue_Jungle,Winrate_Blue_Mid,Games_Blue_Mid,Winrate_Blue_Carry,Games_Blue_Carry,Winrate_Blue_Support,Games_Blue_Support,Winrate_Red_Top,Games_Red_Top,Winrate_Red_Jungle,Games_Red_Jungle,Winrate_Red_Mid,Games_Red_Mid,Winrate_Red_Carry,Games_Red_Carry,Winrate_Red_Support,Games_Red_Support,Outcome
44.4,18.0,62.5,8.0,57.1,14.0,52.0,294.0,,,63.6,33.0,52.4,143.0,50.0,2.0,59.8,117.0,52.3,44.0,True
46.6,73.0,51.0,210.0,59.8,117.0,48.0,50.0,50.0,22.0,50.0,16.0,44.9,198.0,33.3,3.0,66.7,9.0,45.5,11.0,False
52.0,100.0,,,54.5,413.0,48.9,47.0,62.5,32.0,54.1,61.0,58.6,29.0,59.8,117.0,54.5,44.0,39.3,28.0,True
55.3,103.0,56.4,39.0,59.8,117.0,58.7,75.0,0.0,5.0,54.1,159.0,45.2,31.0,58.5,106.0,50.0,2.0,50.0,2.0,False
45.5,11.0,58.1,31.0,59.8,117.0,58.7,75.0,62.5,8.0,50.0,8.0,52.9,17.0,100.0,1.0,55.0,80.0,100.0,2.0,False
20.0,5.0,60.2,113.0,59.8,117.0,61.7,47.0,68.8,16.0,67.1,152.0,12.5,8.0,57.0,100.0,,,50.0,54.0,True
,,50.0,6.0,58.0,100.0,33.3,6.0,56.3,16.0,53.8,52.0,55.0,20.0,59.8,117.0,100.0,3.0,64.0,25.0,False
33.3,3.0,52.2,136.0,59.8,117.0,66.7,12.0,51.7,447.0,52.2,23.0,53.1,849.0,,,58.3,24.0,42.9,7.0,True
62.5,40.0,25.0,20.0,59.8,117.0,58.7,75.0,40.0,5.0,57.5,160.0,56.9,72.0,57.1,7.0,33.3,3.0,100.0,1.0,False
57.4,115.0,57.7,168.0,59.8,117.0,58.7,75.0,55.3,47.0,57.6,85.0,49.4,85.0,83.3,6.0,47.7,44.0,40.7,27.0,False
59.8,117.0,70.3,37.0,33.3,15.0,52.6,19.0,66.7,6.0,25.0,4.0,,,56.3,71.0,46.4,28.0,53.5,99.0,True
35.3,17.0,54.4,79.0,56.7,134.0,42.3,26.0,28.6,7.0,50.0,16.0,49.3,278.0,45.5,55.0,40.0,10.0,69.2,13.0,False
