,Winrate_Blue_Top,Games_Blue_Top,Winrate_Blue_Jungle,Games_Blue_Jungle,Winrate_Blue_Mid,Games_Blue_Mid,Winrate_Blue_Carry,Games_Blue_Carry,Winrate_Blue_Support,Games_Blue_Support,Winrate_Red_Top,Games_Red_Top,Winrate_Red_Jungle,Games_Red_Jungle,Winrate_Red_Mid,Games_Red_Mid,Winrate_Red_Carry,Games_Red_Carry,Winrate_Red_Support,Games_Red_Support,Outcome,blue_winrates_avg,red_winrates_avg,avg_win_dif,blue_games_avg,red_games_avg
3009,57.1,7.0,57.9,19.0,51.1,474.0,66.1,59.0,57.1,14.0,52.7,275.0,55.6,480.0,45.0,109.0,66.7,3.0,16.7,6.0,True,57.86,47.34,10.519999999999996,57.86,47.34
3010,50.0,68.0,53.1,629.0,50.0,20.0,30.0,10.0,50.0,4.0,59.6,151.0,71.4,7.0,80.0,15.0,50.0,4.0,,,False,46.62,65.25,-18.630000000000003,46.62,65.25
3011,42.9,7.0,54.5,33.0,56.1,246.0,38.1,21.0,43.8,16.0,,,60.4,207.0,37.5,8.0,50.0,166.0,51.8,137.0,False,47.08,49.92,-2.8400000000000034,47.08,49.92
3012,45.8,48.0,,,56.2,477.0,72.7,11.0,60.0,10.0,60.1,271.0,52.0,415.0,54.5,33.0,64.2,53.0,65.2,23.0,False,58.68,59.2,-0.5200000000000031,58.68,59.2
3013,57.5,40.0,55.9,136.0,51.0,147.0,66.1,59.0,60.0,65.0,37.5,8.0,37.5,16.0,59.7,72.0,44.4,27.0,52.6,38.0,True,58.1,46.34,11.759999999999998,58.1,46.34
3014,52.6,19.0,33.3,6.0,,,38.1,21.0,61.9,21.0,56.9,197.0,57.5,146.0,42.9,14.0,50.0,28.0,50.0,22.0,False,46.48,51.46,-4.980000000000004,46.48,51.46
3015,56.9,197.0,42.9,7.0,0.0,2.0,60.7,28.0,58.0,143.0,53.8,13.0,80.0,5.0,46.2,26.0,60.0,5.0,64.9,191.0,False,43.7,60.98,-17.279999999999994,43.7,60.98
3016,54.6,183.0,,,77.8,9.0,66.1,59.0,61.9,21.0,,,55.6,99.0,70.4,27.0,53.6,28.0,53.7,555.0,True,65.1,58.32,6.779999999999994,65.1,58.32
3017,58.3,12.0,48.8,248.0,,,66.1,59.0,61.9,21.0,60.0,30.0,36.4,33.0,54.2,168.0,45.0,129.0,46.4,56.0,True,58.78,48.4,10.380000000000003,58.78,48.4
3018,55.7,79.0,51.7,58.0,,,72.7,11.0,60.6,66.0,57.7,52.0,0.0,1.0,52.8,36.0,53.8,80.0,54.1,209.0,True,60.18,43.68,16.5,60.18,43.68
3019,64.3,14.0,54.8,93.0,40.0,5.0,86.7,15.0,49.5,111.0,52.4,246.0,41.9,43.0,55.3,544.0,66.1,59.0,61.9,21.0,False,59.06,55.52,3.539999999999999,59.06,55.52
3020,73.3,15.0,75.0,4.0,50.0,162.0,50.9,503.0,58.1,472.0,,,52.2,46.0,77.8,9.0,55.6,18.0,56.9,915.0,True,61.46,60.62,0.8400000000000034,61.46,60.62
3021,58.3,24.0,59.4,101.0,64.4,135.0,42.9,119.0,44.4,9.0,50.6,237.0,71.3,87.0,50.0,84.0,47.4,38.0,53.6,97.0,True,53.88,54.58,-0.6999999999999957,53.88,54.58
3022,37.5,40.0,0.0,2.0,80.0,5.0,53.7,324.0,55.3,38.0,56.8,190.0,51.4,35.0,42.9,7.0,52.7,91.0,61.8,55.0,False,45.3,53.12,-7.82,45.3,53.12
3023,,,77.8,9.0,57.4,108.0,0.0,3.0,,,62.5,24.0,54.5,22.0,33.3,6.0,38.5,13.0,40.0,15.0,False,45.07,45.76,-0.6899999999999977,45.07,45.76
