,Summoner ID
65,hBLjMwT1WO6U_lO8--xn-dUiP_7_Dt3rJbT-zFLxLPwFlBgm
66,KKiQcZc06tN__xVXtiOvbuoBwwnt7-UZU-TkLHPdiO13bdnU
67,4p2FOXeGdtMXKY1Y-k-tTnxMi6ZSyd3Rw8oIDeoSk1n5EAbd
68,r_pJXeYr8cclWheUGxEen8vM_qyfylsWivc-NxZIfgWuElO0
69,Qz7DiPk6HvE7cmQ3GQ1ubSMhLDr0XAKhlIUV6o2AMJxkrBlD
70,c54wEmiIS162gviEobx2NG2LzGpPRW0P1HHACJJTdNpvJC51
71,9lm-5pWbs2uALHcz3D23LgS4NEtHrn0GvJ-pnd00ITs1_Onn
72,Yq3GOv4CGrB0j2ylFBKLVi3_clvuRe_SpRqafNOia9mmhFoG
73,hHyU9K_Qaa3e41BSFmUog6dJQwJstyTFdQc46EVxwbq6QsFf
74,UYXcznMBpIgZS5NNR9sMl2Wx_DRGI5lr8BVELu3kXtFpXP2Z
75,XbmB6SEdOWPa9tGGC-8GR6iDUhHVGZkMx7FWQRALFPesvt_x
76,G6II6XtAFAL9xgCYtk5UQ4XOJgwh3nSoeHeJbPe8bgbTt_5n
77,OIrZYUqSdzJI2VKNcccSiJB0FQS1UUf6rRCmy_s-wgSt-F7t
78,iA-1w5GNmBnUdqSYjFHJWqM6y_ca8_vVFmTzb93elKByNmBv
79,vChNhTYLBl8BOifL3eG_MV4graHwgcKrskr8ZjQbeqYW1sTl
80,NLfgbuOJUU2w88RWLNXs8yovh0WEBuqlefr1kZdIBniEmk26
81,-C_hGS58O_X-JClKcL1MuahHuJjxny8iDzxondPLCGgsyA2o
82,1twqFv75qcPgzElfiR5lGdM39w14oXV7PiGrc6n4l-uNH10k
83,lC2CPQ7UQlN9r8ixV1SSgcVWIL25uANm5FsyUERLE4Pf05ET
84,7skTw3DPRFL8qpwrmG50e_olZmKZPX8w7hcE2sj-MlfKbsvc
85,1y3ZOyjShgbVak3Bjv_M0fuTf8RojbGNj4d4GMJ9YJrLNf6Q
86,Ny-rKSMDcG-geqdNepBKuNudC03KUsHpqodb9sftuy8yHKQp
87,_UL_OppQO-J1EJHeWV5ruwbR9_stc0NKNLqP9zNMXg0LXNeG
88,Dbo9GyLsm7iCEhvBZ5IxviG8AnLRiLDh2jCq-aWoKRrkhMN6
89,KEqiE5BXvkrqbgxHx9cwKAKxKNEeGfMrc7c2eUDgWFXm3egJ
90,_UsCyH_4YqufjRVC4n_DIGSy4lrItfUTnfCjxBnduN6SUvk9
91,TzL-WXg-mNWgAnDqdayFLUXb1brVtiD9ndYUW7FV-kYJvjPZ
92,wHwBCJeT6uJ6fhYPElGz-n7VXAGU2TQOnMl0ZY1gZLkaOisz
93,IiTfb3x0K-tIqou3Hv-PUPVpwo0SbwKGItzLy0HfoeiqVzVO
94,a_Eh7LZOo81GY9T4kSuMPzGLVECp9UbZ5y2IDJ3BUPHqaO0D
95,pImbsZAKVjNzbgYXyvPN_PXoSrfdq__fqXLRiTgUElXzpLRB
