,Blue Top,Blue Jungle,Blue Mid,Blue Carry,Blue Support,Red Top,Red Jungle,Red Mid,Red Carry,Red Support,Outcome
2775,"['Champ', 'Renekton']","['AtomlseurDePuant', 'Rengar']","['NSM SprInta', 'Sylas']","['No Μercy', 'Ezreal']","['AtomiseurDePuant', 'Yuumi']","['KOSOVO lS SERBlA', 'Darius']","['Ruža', 'Zed']","['TF Jump', 'Vex']","['Titφs Slave', 'Draven']","['asolmein', 'Rell']",False
2776,"['KBL Jugurtha', 'Malphite']","['kvs', 'LeeSin']","['StillAdrift', 'Sylas']","['Esito', 'Zyra']","['Smirglpapir', 'Senna']","['Champ', 'Renekton']","['Gorm', 'Hecarim']","['im gonna carry69', 'Ahri']","['LFT Reantu', 'Samira']","['Talsma', 'Bard']",True
2777,"['Boba Trash tea', 'Aatrox']","['Commit Apoptose', 'Lillia']","['Dunkler Paladin', 'Viktor']","['Panaana', 'Ezreal']","['Laharlsama1', 'Yuumi']","['Champ', 'Yasuo']","['xánax abuser', 'Ekko']","['raggarpipey', 'Sylas']","['lovense remote', 'Samira']","['antihero', 'Ashe']",False
2778,"['Champ', 'Camille']","['lawzgzu', 'Diana']","['174123145', 'Katarina']","['next life pls', 'Varus']","['LordOfBalls', 'Soraka']","['moistjeez', 'Akali']","['MidLanerFromHell', 'Udyr']","['Autofill SENPAI', 'Zed']","['PlSSDRlNKER', 'Shaco']","['REINA FROZEN', 'Xerath']",False
2779,"['Champ', 'Renekton']","['friendlyghoster', 'XinZhao']","['Tenechit', 'Vex']","['AnotherNewii', 'Kaisa']","['LegTrainedFiddle', 'FiddleSticks']","['Moctesuma', 'Sion']","['Ape Wishing Pain', 'Nidalee']","['DangerKiss60', 'LeeSin']","['Luv Arsow', 'Samira']","['A  Χ  Ξ', 'Ashe']",True
2780,"['Champ', 'Amumu']","['CanCanNedNewNew', 'Graves']","['OptimusPrinceps', 'Corki']","['scscscscsc', 'Varus']","['Real Steve', 'Renekton']","['ToxicOK', 'Singed']","[' Daddy Alpha', 'Hecarim']","['RAT Luxxyluc', 'Viktor']","['Razlystendor', 'Ashe']","['Brossyx', 'Xerath']",False
2781,"['PermaShen', 'Skarner']","['Wermi', 'Graves']","['xPretty Ameliax', 'Vladimir']","['Aerys II', 'Kaisa']","['yiuu', 'Lulu']","['Champ', 'Yasuo']","['Melîudas', 'Diana']","['Cannon Heartbeat', 'Malzahar']","['thekk', 'Jhin']","['Real Steve', 'Xerath']",True
2782,"['Rabu ka', 'Aatrox']","['MMG Groderium', 'Udyr']","['Henceforth', 'Vex']","['Avé Banana', 'Caitlyn']","['AF Varily', 'Senna']","['Champ', 'Renekton']","['RockyWS', 'LeeSin']","['Sëvën', 'Kassadin']","['sussy meeting', 'Talon']","['crewmate venting', 'Rakan']",True
2783,"['zzCannabeast', 'Jax']","['DiamondDragox', 'Mordekaiser']","['TetrisGamer', 'Lissandra']","['MrHamsterEU', 'Ezreal']","['Εric Dampierre', 'Lux']","['Champ', 'Camille']","['Sikkerning', 'Viego']","['Shi no Shirushi9', 'Sylas']","['m1NEEX', 'Jinx']","['Senevad', 'Renata']",False
2784,"['mirosIav close', 'Skarner']","['djermaine', 'Khazix']","['lJzZTobias', 'Syndra']","['Hostuko', 'Xayah']","['Zainêlo', 'Leblanc']","['Champ', 'Renekton']","['Lebrand James XD', 'Shaco']","['N1 Akshan', 'Ahri']","['NKT Baity Algo', 'Karthus']","['obedient toy', 'Janna']",True
2785,"['Champ', 'Renekton']","['Ortens Soldat', 'LeeSin']","['MarchMallows', 'Ryze']","['LMA Boundless', 'Ezreal']","['UwU UwU No Mi', 'Blitzcrank']","['chapolong', 'Poppy']","['snowRedBull', 'JarvanIV']","['xShockado', 'Quinn']","['Thewezt AD acc', 'Twitch']","['IuIu is bae', 'Morgana']",True
2786,"['Champ', 'Renekton']","['Pacı', 'Shaco']","['EWS Bubi', 'Anivia']","['dissxqt', 'Jinx']","['Tide Blessed', 'Nami']","['Innefable', 'Zed']","['Cmplx PTSD', 'Evelynn']","['edqtuz', 'Kassadin']","['Galeforce Gary', 'Twitch']","['WE JoJo', 'Lulu']",False
2787,"['Shin Under BTW', 'Udyr']","['CoffeeAddict123', 'MasterYi']","['IWD Crack Acc', 'Vladimir']","['Yseur', 'Vayne']","['Hydrohmmm', 'Leona']","['Champ', 'Renekton']","['LJungleDlaMuerte', 'Nocturne']","['TSI Ayrtak', 'Sylas']","['thekk', 'Samira']","['Mimi Underscore', 'Nautilus']",False
2788,"['UwU nanø OwO', 'Fiora']","['Ysilorgalo', 'Ekko']","['ESP Olley ', 'Taliyah']","['oceanwave22', 'Kaisa']","['Light n Dark', 'Nami']","['Champ', 'Renekton']","['NikitouEnjoyer69', 'Volibear']","['qwrkwqkrqwkfdwql', 'Syndra']","['FML Reformed ', 'Jhin']","['HaknazZz Aggie', 'Velkoz']",False
2789,"['ElPapoune', 'Fiora']","['Eldenigator', 'Taliyah']","['Stonks Biton', 'Viktor']","['PLATETAKER39', 'Kalista']","['Big Sniff', 'Shen']","['Champ', 'Renekton']","['WMId', 'Sylas']","['Gon D Freecs', 'Irelia']","['Algο21', 'Kaisa']","['TheBigBackClock', 'Zilean']",False
2790,"['Roustass', 'KSante']","['Gimmeblood', 'Nunu']","['FeederJan', 'Syndra']","['EIvanse', 'Tristana']","['DMAA Fuarkkh', 'Nautilus']","['Champ', 'Renekton']","['Wivter', 'Trundle']","['TheSnuw', 'Velkoz']","['Risustther', 'Vayne']","['angel janna', 'Lulu']",True
2791,"['Champ', 'Yasuo']","['Goldy LoL', 'Diana']","['RikaxL', 'TwistedFate']","['Εko', 'Kaisa']","['Warsattack', 'Heimerdinger']","['Crocksen', 'Jax']","['Zeref qwq', 'Hecarim']","['IveslbxSt', 'Sylas']","['Psycho Rat', 'Sivir']","['PaBardooo', 'Bard']",False
2792,"['Error 4Ö4', 'DrMundo']","['Zeref qwq', 'Hecarim']","['IveslbxSt', 'Akshan']","['VapeRoald', 'Talon']","['perma cooming', 'Amumu']","['Champ', 'Illaoi']","['SUB Düsseldorf', 'Diana']","['Giteraobosaun', 'Katarina']","['chimdaegoyangi', 'Ezreal']","['J Unstoppable', 'Soraka']",True
2793,"['Champ', 'Renekton']","['xánax abuser', 'Ekko']","['Lepetitpaysan', 'Annie']","['GoDeepOrGoHome', 'Samira']","['Gon D Freecs', 'Rell']","['Gaze comme en 40', 'Singed']","['NPN', 'LeeSin']","['kraelkore', 'Sylas']","['AIIy 4', 'Ezreal']","['1245634612341234', 'Janna']",False
2794,"['Champ', 'Yasuo']","['Stay Focus Mates', 'Zed']","['raggarpipey', 'Sylas']","['bandit7', 'Draven']","['Gon D Freecs', 'Rell']","['Neinty', 'Aatrox']","['Mantis42000', 'Khazix']","['Gwi Nam', 'Lissandra']","['Fnoberz 1 on YT', 'Lucian']","['asaawhasl', 'Xerath']",True
2795,"['Champ', 'Renekton']","['ventari 22222222', 'Hecarim']","['Villainesque', 'Zoe']","['wTkLkNAlston', 'Nilah']","['F L O W A W A Y', 'Pyke']","['Vl4dislav', 'Aatrox']","['Mantis42000', 'Khazix']","['raggarpipey', 'Sylas']","['bandit7', 'Draven']","['WhyMoze', 'Nami']",True
2796,"['nxbodyknows', 'Irelia']","['I carry dont cry', 'Sejuani']","['Champ', 'Renekton']","['RAMOLOBEAM', 'Nilah']","['KittyMiiau', 'Karthus']","['Malphagot', 'Mordekaiser']","['Reformed Noob', 'Vi']","['raggarpipey', 'Sylas']","['bandit7', 'Draven']","['7 Slaughter', 'Leona']",False
2797,"['Champ', 'Yasuo']","['Dealersz Euw', 'Zac']","['Raye is my bae', 'Qiyana']","['Sodegod', 'Jinx']","['YouWantTheD', 'Brand']","['Tarot Card', 'Illaoi']","['Βarack Οbama', 'Zed']","['DRX PimmeIjo', 'Katarina']","['Razlystendor', 'MissFortune']","['Cpe3', 'Karma']",True
2798,"['Champ', 'Renekton']","['DoubleGio', 'Pantheon']","['kot ludwik', 'Anivia']","['CapitateFungus', 'Xayah']","['Wαitrose', 'Lulu']","['123985774', 'Gragas']","['Danaconda', 'MonkeyKing']","['Death Lotùs', 'Katarina']","['Licht4', 'Ezreal']","['chewbacca', 'Nami']",False
2799,"['Champ', 'Renekton']","['IDG XprimuX', 'Graves']","['LennyisNaN', 'Heimerdinger']","['Coven Morgana', 'Samira']","['Void Cookie', 'Rell']","['Taqqu', 'Kled']","['Random Jngl', 'MonkeyKing']","['Chavan11', 'Malzahar']","['imposter syndrom', 'Kaisa']","['Xamih', 'Karma']",False
2800,"['Calm playar', 'Rumble']","['Migueniz', 'Ekko']","['IPY Paul', 'Talon']","['TeddyGumayusiUzi', 'Samira']","['LittleBoyBoo', 'Nautilus']","['Champ', 'Yasuo']","['Luniiiiikk ', 'Graves']","['NeoxTron', 'Malzahar']","['Miroshakotie', 'Ezreal']","['Nosc', 'Swain']",True
