Winrate_Blue_Top,Games_Blue_Top,Winrate_Blue_Jungle,Games_Blue_Jungle,Winrate_Blue_Mid,Games_Blue_Mid,Winrate_Blue_Carry,Games_Blue_Carry,Winrate_Blue_Support,Games_Blue_Support,Winrate_Red_Top,Games_Red_Top,Winrate_Red_Jungle,Games_Red_Jungle,Winrate_Red_Mid,Games_Red_Mid,Winrate_Red_Carry,Games_Red_Carry,Winrate_Red_Support,Games_Red_Support,blue_winrates_avg,red_winrates_avg,avg_win_dif,blue_games_avg,red_games_avg,Outcome
52.9,522.0,70.0,10.0,53.8,199.0,47.9,48.0,50.0,16.0,60.1,271.0,56.5,69.0,75.0,4.0,14.3,7.0,47.8,46.0,54.92,50.74,4.18,159.0,79.4,True
52.9,522.0,54.4,57.0,59.0,100.0,57.1,7.0,52.6,19.0,53.8,691.0,50.0,10.0,55.4,1761.0,50.3,143.0,37.5,16.0,55.2,49.4,5.800000000000004,141.0,524.2,True
,,66.7,3.0,56.2,477.0,50.3,143.0,37.5,16.0,52.6,643.0,52.4,1006.0,59.3,177.0,37.5,16.0,33.3,15.0,52.68,47.02,5.659999999999997,127.8,371.4,True
52.6,643.0,56.6,76.0,,,50.3,143.0,37.5,16.0,50.0,6.0,54.4,171.0,60.0,10.0,57.1,14.0,,,49.25,44.3,4.950000000000003,175.6,40.2,False
37.5,8.0,54.9,82.0,,,57.1,7.0,47.8,46.0,54.6,875.0,53.2,124.0,56.4,307.0,52.5,244.0,65.4,26.0,49.32,56.42,-7.100000000000001,28.6,315.2,True
51.1,45.0,40.0,5.0,59.8,117.0,21.4,14.0,52.1,73.0,46.6,73.0,,,56.7,194.0,52.0,75.0,54.9,530.0,44.88,42.04,2.8400000000000034,50.8,174.4,False
,,,,58.7,75.0,59.8,117.0,16.7,6.0,50.0,2.0,,,56.6,143.0,,,75.8,33.0,45.07,36.48,8.590000000000003,39.6,35.6,False
55.4,213.0,0.0,1.0,48.1,27.0,63.2,209.0,56.7,233.0,53.8,26.0,50.7,73.0,58.7,75.0,59.8,117.0,66.7,6.0,44.68,57.94,-13.259999999999998,136.6,59.4,False
50.0,4.0,41.7,12.0,58.7,75.0,59.8,117.0,56.3,144.0,62.8,78.0,48.9,703.0,65.7,67.0,60.0,15.0,75.0,4.0,53.3,62.48,-9.18,70.4,173.4,False
25.0,4.0,55.7,287.0,58.3,103.0,0.0,1.0,54.5,11.0,59.6,265.0,75.0,28.0,80.0,5.0,59.8,117.0,56.1,66.0,38.7,66.1,-27.39999999999999,81.2,96.2,False
60.3,353.0,,,44.8,29.0,59.8,117.0,33.3,3.0,41.8,165.0,55.4,251.0,48.5,272.0,,,60.0,10.0,49.55,41.14,8.409999999999997,100.4,139.6,True
51.1,879.0,40.0,10.0,57.4,61.0,52.6,19.0,0.0,2.0,,,50.7,73.0,59.7,196.0,59.8,117.0,51.4,35.0,40.22,44.32,-4.100000000000001,194.2,84.2,False
55.9,395.0,47.6,42.0,56.5,177.0,59.8,117.0,50.9,326.0,26.7,15.0,,,59.7,196.0,51.4,1591.0,57.6,33.0,54.14,39.08,15.060000000000002,211.4,367.0,True
,,14.3,7.0,47.8,23.0,59.8,117.0,50.9,171.0,57.1,7.0,55.6,27.0,68.4,38.0,54.5,407.0,50.0,6.0,43.2,57.12,-13.919999999999995,63.6,97.0,False
54.0,200.0,53.8,13.0,56.6,83.0,54.7,53.0,28.6,14.0,100.0,3.0,41.7,12.0,57.9,420.0,59.8,117.0,57.8,90.0,49.54,63.44,-13.899999999999999,72.6,128.4,False
